id,name_ja,name_zh-Hans,requiredLevel,base_role,base_style,base_faction,bonus_role,bonus_style,duration_1_hours,duration_1_rewards,duration_1_bonus_rewards,duration_2_hours,duration_2_rewards,duration_2_bonus_rewards,duration_3_hours,duration_3_rewards,duration_3_bonus_rewards,duration_4_hours,duration_4_rewards,duration_4_bonus_rewards,name_zh-Hant,name_en,name_kr
m-001,資金獲得 初級,资金报酬 初级,1,バランサー,,,,独創性,4,dorra:13200|prize_egg:1~2,dorra:2640,8,dorra:26400|prize_egg:2~4,dorra:5280,12,dorra:39600|prize_egg:3~6,dorra:7920,20,dorra:66000|prize_egg:5~10,dorra:13200,資金報酬 初級,Monetary Reward: I,금전적 보상 초급
m-002,資金獲得 中級,资金报酬 中级,40,アタッカー|バランサー,,,,冒険家|知的好奇心,4,dorra:21600|prize_egg:1~3,dorra:4320,8,dorra:43200|prize_egg:2~6,dorra:8640,12,dorra:64800|prize_egg:3~9,dorra:12960,20,dorra:108000|prize_egg:5~15,dorra:21600,資金報酬 中級,Monetary Reward: Ⅱ,금전적 보상 중급
m-003,資金獲得 上級,资金报酬 高级,70,アタッカー|バランサー|アタッカー,,,,冒険家|知的好奇心,4,dorra:30000|prize_egg:2~4,dorra:6000,8,dorra:60000|prize_egg:4~8,dorra:12000,12,dorra:90000|prize_egg:6~12,dorra:18000,20,dorra:150000|prize_egg:10~20,dorra:30000,資金報酬 高級,Monetary Reward: Ⅲ,금전적 보상 고급
m-004,経験値獲得 初級,经验积累 初级,1,アタッカー,,,,独創性,4,exp_trekkers_t1:2~3|prize_egg:1~2,exp_trekkers_t1:0~1,8,exp_trekkers_t1:5~6|prize_egg:2~4,exp_trekkers_t1:1~2,12,exp_trekkers_t1:7~8|prize_egg:3~6,exp_trekkers_t1:1~2,20,exp_trekkers_t1:13~14|prize_egg:5~10,exp_trekkers_t1:2~3,累積經驗 初級,Experience Gain: I,경험 축적 초급
m-005,経験値獲得 中級,经验积累 中级,40,アタッカー|バランサー,,,,冒険家|独創性,4,exp_trekkers_t1:4~5|prize_egg:1~3,exp_trekkers_t1:0~1,8,exp_trekkers_t1:8~9|prize_egg:2~6,exp_trekkers_t1:1~2,12,exp_trekkers_t1:12~13|prize_egg:3~9,exp_trekkers_t1:2~3,20,exp_trekkers_t1:22~23|prize_egg:5~15,exp_trekkers_t1:4~5,累積經驗 中級,Experience Gain: Ⅱ,경험 축적 중급
m-006,経験値獲得 上級,经验积累 高级,70,アタッカー|バランサー|アタッカー,,,,冒険家|独創性,4,exp_trekkers_t1:6|prize_egg:2~4,exp_trekkers_t1:1~2,8,exp_trekkers_t1:12|prize_egg:4~8,exp_trekkers_t1:2~3,12,exp_trekkers_t1:18|prize_egg:6~12,exp_trekkers_t1:3~4,20,exp_trekkers_t1:30|prize_egg:10~20,exp_trekkers_t1:6,累積經驗 高級,Experience Gain: Ⅲ,경험 축적 고급
m-007,ロスレコ素材 初級,秘纹素材 初级,1,アタッカー,,,,収集家,4,exp_discs_t1:2~3|prize_egg:1~2,exp_discs_t1:0~1,8,exp_discs_t1:5~6|prize_egg:2~4,exp_discs_t1:1~2,12,exp_discs_t1:7~8|prize_egg:3~6,exp_discs_t1:1~2,20,exp_discs_t1:13~14|prize_egg:5~10,exp_discs_t1:2~3,祕紋材料 初級,Disc Material: I,레코드 재료 초급
m-008,ロスレコ素材 中級,秘纹素材 中级,40,バランサー|サポーター,,,,収集家|冒険家,4,exp_discs_t1:4~5|prize_egg:1~3,exp_discs_t1:0~1,8,exp_discs_t1:8~9|prize_egg:2~6,exp_discs_t1:1~2,12,exp_discs_t1:12~13|prize_egg:3~9,exp_discs_t1:2~3,20,exp_discs_t1:22~23|prize_egg:5~15,exp_discs_t1:4~5,祕紋材料 中級,Disc Material: Ⅱ,레코드 재료 중급
m-009,ロスレコ素材 上級,秘纹素材 高级,70,バランサー|サポーター|バランサー,,,,収集家|冒険家,4,exp_discs_t1:6|prize_egg:2~4,exp_discs_t1:1~2,8,exp_discs_t1:12|prize_egg:4~8,exp_discs_t1:2~3,12,exp_discs_t1:18|prize_egg:6~12,exp_discs_t1:3~4,20,exp_discs_t1:30|prize_egg:10~20,exp_discs_t1:6,祕紋材料 高級,Disc Material: Ⅲ,레코드 재료 고급
m-010,巡遊者昇格素材A 初級,旅人升阶素材A 初级,1,サポーター,,,,冒険家,4,tier-up_trekkers_a_t1:4|prize_egg:1~2,tier-up_trekkers_a_t1:0~1,8,tier-up_trekkers_a_t1:8|prize_egg:2~4,tier-up_trekkers_a_t1:1~2,12,tier-up_trekkers_a_t1:12|prize_egg:3~6,tier-up_trekkers_a_t1:2~3,20,tier-up_trekkers_a_t1:20|prize_egg:5~10,tier-up_trekkers_a_t1:4,旅人升階材料A 初級,Trekker Material A: I,여행가 승급 재료A 초급
